"Year","City","TableTitle","Heading","Value"
"1976","Amsterdam","Food Prices","Food Basket ($)","197.3"
"1976","Athens","Food Prices","Food Basket ($)","158.5"
"1976","Bogota","Food Prices","Food Basket ($)","100.6"
"1976","Brussels","Food Prices","Food Basket ($)","220.9"
"1976","Buenos Aires","Food Prices","Food Basket ($)","106.7"
"1976","Chicago","Food Prices","Food Basket ($)","205.3"
"1976","Copenhagen","Food Prices","Food Basket ($)","264.2"
"1976","Dublin","Food Prices","Food Basket ($)","127.1"
"1976","Geneva","Food Prices","Food Basket ($)","265.6"
"1976","Helsinki","Food Prices","Food Basket ($)","247"
"1976","Hong Kong","Food Prices","Food Basket ($)","228"
"1976","Johannesburg","Food Prices","Food Basket ($)","130.4"
"1976","Lisbon","Food Prices","Food Basket ($)","172.2"
"1976","London","Food Prices","Food Basket ($)","151.3"
"1976","Los Angeles","Food Prices","Food Basket ($)","178.5"
"1976","Luxembourg","Food Prices","Food Basket ($)","208.9"
"1976","Madrid","Food Prices","Food Basket ($)","174.5"
"1976","Manila","Food Prices","Food Basket ($)","144.5"
"1976","Mexico City","Food Prices","Food Basket ($)","168.1"
"1976","Milan","Food Prices","Food Basket ($)","184.2"
"1976","Montreal","Food Prices","Food Basket ($)","201.9"
"1976","New York","Food Prices","Food Basket ($)","212.3"
"1976","Oslo","Food Prices","Food Basket ($)","259.5"
"1976","Paris","Food Prices","Food Basket ($)","222"
"1976","Rio de Janeiro","Food Prices","Food Basket ($)","148"
"1976","Sao Paulo","Food Prices","Food Basket ($)","136"
"1976","Stockholm","Food Prices","Food Basket ($)","271.1"
"1976","Sydney","Food Prices","Food Basket ($)","136.9"
"1976","Tokyo","Food Prices","Food Basket ($)","355.3"
"1976","Toronto","Food Prices","Food Basket ($)","183"
"1976","Vienna","Food Prices","Food Basket ($)","185.3"
"1976","Zurich","Food Prices","Food Basket ($)","267.2"
"1979","Amsterdam","Food Prices","Food Basket ($)","163"
"1979","Athens","Food Prices","Food Basket ($)","136"
"1979","Bogota","Food Prices","Food Basket ($)","94"
"1979","Brussels","Food Prices","Food Basket ($)","191"
"1979","Buenos Aires","Food Prices","Food Basket ($)","126"
"1979","Chicago","Food Prices","Food Basket ($)","163"
"1979","Copenhagen","Food Prices","Food Basket ($)","205"
"1979","Dublin","Food Prices","Food Basket ($)","150"
"1979","Geneva","Food Prices","Food Basket ($)","223"
"1979","Helsinki","Food Prices","Food Basket ($)","205"
"1979","Hong Kong","Food Prices","Food Basket ($)","153"
"1979","Johannesburg","Food Prices","Food Basket ($)","116"
"1979","Lisbon","Food Prices","Food Basket ($)","105"
"1979","London","Food Prices","Food Basket ($)","172"
"1979","Los Angeles","Food Prices","Food Basket ($)","135"
"1979","Luxembourg","Food Prices","Food Basket ($)","173"
"1979","Madrid","Food Prices","Food Basket ($)","163"
"1979","Manila","Food Prices","Food Basket ($)","107"
"1979","Mexico City","Food Prices","Food Basket ($)","94"
"1979","Milan","Food Prices","Food Basket ($)","153"
"1979","Montreal","Food Prices","Food Basket ($)","134"
"1979","New York","Food Prices","Food Basket ($)","172"
"1979","Oslo","Food Prices","Food Basket ($)","211"
"1979","Paris","Food Prices","Food Basket ($)","177"
"1979","Rio de Janeiro","Food Prices","Food Basket ($)","133"
"1979","Sao Paulo","Food Prices","Food Basket ($)","107"
"1979","Stockholm","Food Prices","Food Basket ($)","207"
"1979","Sydney","Food Prices","Food Basket ($)","116"
"1979","Tokyo","Food Prices","Food Basket ($)","292"
"1979","Toronto","Food Prices","Food Basket ($)","149"
"1979","Vienna","Food Prices","Food Basket ($)","169"
"1979","Zurich","Food Prices","Food Basket ($)","225"
"1982","Amsterdam","Food Prices","$","187"
"1982","Athens","Food Prices","$","212"
"1982","Bogota","Food Prices","$","199"
"1982","Brussels","Food Prices","$","208"
"1982","Buenos Aires","Food Prices","$","171"
"1982","Chicago","Food Prices","$","284"
"1982","Copenhagen","Food Prices","$","285"
"1982","Dublin","Food Prices","$","205"
"1982","Geneva","Food Prices","$","307"
"1982","Helsinki","Food Prices","$","320"
"1982","Hong Kong","Food Prices","$","257"
"1982","Johannesburg","Food Prices","$","192"
"1982","Lisbon","Food Prices","$","153"
"1982","London","Food Prices","$","215"
"1982","Los Angeles","Food Prices","$","245"
"1982","Luxembourg","Food Prices","$","197"
"1982","Madrid","Food Prices","$","198"
"1982","Manila","Food Prices","$","187"
"1982","Mexico City","Food Prices","$","133"
"1982","Milan","Food Prices","$","202"
"1982","Montreal","Food Prices","$","269"
"1982","New York","Food Prices","$","281"
"1982","Oslo","Food Prices","$","298"
"1982","Paris","Food Prices","$","225"
"1982","Rio de Janeiro","Food Prices","$","194"
"1982","Sao Paulo","Food Prices","$","141"
"1982","Stockholm","Food Prices","$","280"
"1982","Sydney","Food Prices","$","230"
"1982","Tokyo","Food Prices","$","554"
"1982","Toronto","Food Prices","$","250"
"1982","Vienna","Food Prices","$","210"
"1982","Zurich","Food Prices","$","306"
"1985","Amsterdam","Food Prices","$","164"
"1985","Athens","Food Prices","$","155"
"1985","Bogota","Food Prices","$","173"
"1985","Brussels","Food Prices","$","215"
"1985","Buenos Aires","Food Prices","$","141"
"1985","Chicago","Food Prices","$","263"
"1985","Copenhagen","Food Prices","$","245"
"1985","Dublin","Food Prices","$","199"
"1985","Geneva","Food Prices","$","245"
"1985","Helsinki","Food Prices","$","315"
"1985","Hong Kong","Food Prices","$","280"
"1985","Johannesburg","Food Prices","$","161"
"1985","Lisbon","Food Prices","$","149"
"1985","London","Food Prices","$","191"
"1985","Los Angeles","Food Prices","$","281"
"1985","Luxembourg","Food Prices","$","180"
"1985","Madrid","Food Prices","$","224"
"1985","Manila","Food Prices","$","210"
"1985","Mexico City","Food Prices","$","196"
"1985","Milan","Food Prices","$","198"
"1985","Montreal","Food Prices","$","237"
"1985","New York","Food Prices","$","362"
"1985","Oslo","Food Prices","$","324"
"1985","Paris","Food Prices","$","181"
"1985","Rio de Janeiro","Food Prices","$","132"
"1985","Sao Paulo","Food Prices","$","124"
"1985","Stockholm","Food Prices","$","265"
"1985","Sydney","Food Prices","$","219"
"1985","Tokyo","Food Prices","$","624"
"1985","Toronto","Food Prices","$","289"
"1985","Vienna","Food Prices","$","191"
"1985","Zurich","Food Prices","$","261"
"1988","Amsterdam","Food Prices","$","27"
"1988","Athens","Food Prices","$","210"
"1988","Bogota","Food Prices","$","160"
"1988","Brussels","Food Prices","$","280"
"1988","Buenos Aires","Food Prices","$","160"
"1988","Chicago","Food Prices","$","320"
"1988","Copenhagen","Food Prices","$","360"
"1988","Dublin","Food Prices","$","270"
"1988","Geneva","Food Prices","$","530"
"1988","Helsinki","Food Prices","$","570"
"1988","Hong Kong","Food Prices","$","270"
"1988","Johannesburg","Food Prices","$","180"
"1988","Lisbon","Food Prices","$","230"
"1988","London","Food Prices","$","260"
"1988","Los Angeles","Food Prices","$","230"
"1988","Luxembourg","Food Prices","$","270"
"1988","Madrid","Food Prices","$","320"
"1988","Manila","Food Prices","$","180"
"1988","Mexico City","Food Prices","$","140"
"1988","Milan","Food Prices","$","300"
"1988","Montreal","Food Prices","$","280"
"1988","New York","Food Prices","$","340"
